what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344557621823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344557626152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344557666797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344557741308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344557746876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344557766913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344557768320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344557770107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344557784897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344561861715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344561862960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344562034715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344562038663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344562040339
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344562041083
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1344562043510
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1344562043650
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1344562043656
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1344562043837
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1344562043837
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1344562043840
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1344562043843
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1344562043843
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.1.v201207132230-403220,"overlay.com.android.ide.eclipse.adt.overlay",1344562043885
stopped,bundle,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.adt",1344562043885
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1344562043949
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1344610530757
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1344610530758
